,objectID,title,department,artistDisplayName,artistNationality,artistGender,objectDate,timeperiod
0,490081.0,Untitled,Modern and Contemporary Art,Laura Owens,American,Female,1996,modern
1,78452.0,Lotus and Carp,Asian Art,Song Yeong-bang,Korean,,1990,modern
2,438417.0,Two Men Contemplating the Moon,European Paintings,Caspar David Friedrich,German,,ca. 1825–30,not modern
3,752049.0,Fly the Wild,Modern and Contemporary Art,Stanley Whitney,American,,2017,modern
4,437326.0,Blind Orion Searching for the Rising Sun,European Paintings,Nicolas Poussin,French,,1658,not modern
5,839209.0,Untitled,Modern and Contemporary Art,Harvey Quaytman,American,,1973,modern
6,481500.0,Electric Treasure,Modern and Contemporary Art,Walter Darby Bannard,American,,1975,modern
7,42716.0,Buddha of Medicine Bhaishajyaguru (Yaoshi fo),Asian Art,,,,ca. 1319,not modern
8,50360.0,Water-Moon Avalokiteshvara,Asian Art,Unidentified artist,,,14th century,not modern
9,459092.0,Trees and Houses Near the Jas de Bouffan,Robert Lehman Collection,Paul Cézanne,French,,1885–86,modern
10,36029.0,Water-moon Avalokiteshvara,Asian Art,Unidentified artist,,,first half of the 14th century,not modern
11,484362.0,"No. 13 (White, Red on Yellow)",Modern and Contemporary Art,Mark Rothko,"American, born Russia",,1958,modern
12,486014.0,Americana,Modern and Contemporary Art,Charles Sheeler,American,,1931,modern
13,671024.0,Goose and Reeds; Willows in the Moonlight,Asian Art,Maruyama Ōkyo 円山応挙,Japanese,,right screen: 1774; left screen: 1793,not modern
14,192693.0,Cassone with painted front panel depicting the Conquest of Trebizond,European Sculpture and Decorative Arts,Apollonio di Giovanni di Tomaso,Italian,,after ca. 1461,not modern
15,195456.0,The Backgammon Players,European Sculpture and Decorative Arts,Philip Webb,British,,1861,modern
16,11380.0,Nocturne,The American Wing,John La Farge,American,,ca. 1885,modern
17,435600.0,Saint John on Patmos,European Paintings,Hans Baldung (called Hans Baldung Grien),German,,ca. 1511,not modern
18,44696.0,Gibbons in a Landscape,Asian Art,Sesson Shūkei 雪村周継,Japanese,,ca. 1570,not modern
19,764087.0,Saint Christopher,The American Wing,Melchor Pérez Holguin,Bolivian,,ca. 1710–20,modern
20,50897.0,Evening bell from mist-shrouded temple (left); Autumn moon over Lake Dongting (right),Asian Art,An Gyeon,Korean,,ca. 1450–1500,not modern
21,788905.0,Schloss Milkel in Moonlight,European Paintings,Carl Gustav Carus,German,,ca. 1833–35,not modern
